immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
regulation of biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993949559695681	0	0.993949559695681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sensory perception of taste	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32368877014412	0	0	0	0.334410940276789	0	0	0	0	0	0	0.265878142221792	0	0	0.541853847559538	0.271361744891326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276971242436487	0.200810374012479	0	0	0.99338146702865	0.236296294306441	0	0.394017662223137	0	0.997723596717187	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250311164932066	0	0	0	0	0	0	0	0	0	0	0	0	0.216012773305705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fertilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715445229645359	0.704670148904579	0.633894626284691	0	0	0	0	0	0	0	0	0.639103409444416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.990714670820104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell-matrix adhesion	0	0	0	0	0	0	0	0	0	0.185412873719991	0	0	0	0	0	0	0	0	0	0.170783841618594	0.597388525597949	0.169890761322845	0.150755708974281	0	0	0	0	0.547477634422649	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139480458456915	0.11997979484467	0.12898544625474	0	0	0	0	0	0	0	0	0.101002204126818	0.108771082886724	0.102678511363021	0	0.129973356089357	0.122438588572408	0	0	0	0	0	0	0	0	0	0.102843057716358	0	0	0	0	0.0950528997691274	0.093265735269237	0.0929618988888043	0	0.108081318858034	0.109668330787531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137819704078239	0.127282534673943	0	0	0	0	0	0	0	0	0	0.137562540819055	0	0	0.104559715950756	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103954183120174	0	0.0933655729591096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0850555689778141	0	0	0	0	0.0972700031675641	0	0	0	0	0	0	0	0	0.972084107110765	0	0	0	0	0	0	0.134764630369734	0	0	0	0	0	0	0	0	0	0	0.0977960221397918	0.0897430771081027	0	0.079076187850652	0	0	0	0	0	0	0	0	0	0	0	0	0.0836285872438125	0.0836285872438125	0	0	0	0	0	0	0	0	0	0	0.0716345870491423	0
protein folding	0	0	0	0	0	0.266937097698582	0	0	0.0582472352037669	0	0.301578551677831	0	0	0.0702044154247663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05912555503894	0.0536590663676564	0	0.0512700776442298	0	0	0.048887190052836	0.0425559819147585	0.0360423311928016	0.253155886874048	0.220916409927925	0	0	0	0	0	0	0	0.0445066595244817	0.0402269744233273	0.0410914925084627	0.0371782632129583	0	0	0	0	0	0	0.177960794956679	0.0423223735424665	0.0353391438253099	0.0316858088048631	0.0433294603325613	0.0454929672685737	0	0	0	0	0.033504795409329	0	0	0	0	0	0	0	0	0	0.03492220984115	0.0368367598337463	0.0366266149894015	0.0361445971689624	0	0	0.205060160227306	0	0.0488762981621785	0.0404030948703165	0.039089304718782	0.037010307205425	0.0444442126375454	0.0447171442214195	0.0307400094152781	0.0396132856565906	0.0353391438253099	0	0	0	0.0362777419964688	0.0302845121089964	0.0196722133428692	0	0.0331123564943793	0	0	0	0	0	0.0327149129525526	0	0	0	0	0.0404345993861506	0	0	0	0	0.0354572878297555	0.0389105869586676	0.0335529400412912	0.0318733245925631	0.0304262865538162	0	0	0	0.0290627874834872	0	0	0.0283107201921859	0.220653296013397	0	0	0	0.0288709985734364	0.0277536469997168	0.173101361186978	0	0	0.0329079067157645	0	0.16091895966618	0.0362777419964688	0	0.156576147173385	0.0270428294376997	0.0319636469704094	0.0253179146759637	0	0	0	0.0261070441554651	0	0	0.0206922533653593	0	0	0	0.0206922533653593	0	0	0	0	0	0	0	0	0.986940633798598	0	0	0	0	0	0	0.0274446874815779	0.0259771171280297	0	0	0	0	0	0.0440305664813192	0	0	0	0	0	0	0.0265667287833903	0	0	0	0	0	0	0	0	0.035176841168952	0.0352990934768026	0	0	0	0	0.147016484699851	0.0319636469704094	0.0281036458522366	0.0298293069758484	0	0.14194691677369	0.0230863966299976	0	0	0	0
protein localization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.996285868328042	0.996285868328042	0.895917409895762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856129675276075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asymmetric protein localization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.996285868328042	0.996285868328042	0.895917409895762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.856129675276075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
localization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895917409895762	0.895917409895762	0.990175522674175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941801389197629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to pheromone	0	0.343861505225756	0.280731429788366	0.241674441018696	0.421206846473223	0	0.362386984126044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34716114851184	0.34716114851184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377258812714126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320376698464188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997004732522614	0	0	0	0	0	0	0	0.321658867302034	0.310714759897437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26316352584531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angiogenesis	0	0	0	0	0	0	0	0.428042744646392	0	0	0	0.443051606906457	0.480972206321202	0	0.587822312213725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423470067100684	0.546889823487961	0	0	0	0	0	0	0	0	0.301827286710907	0.330940807697588	0.336514053095859	0.463243017495877	0	0	0	0	0	0	0	0.387620032530419	0	0.387620032530419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302960286001032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257519784291801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.979692086503325	0	0	0	0.449201603814919	0	0	0	0	0	0	0.462567902679363	0	0	0	0	0	0.261126189193428	0.248693671157357	0	0	0.355845597398751	0.244538195742622	0	0	0	0	0	0	0	0.280128407540352	0	0	0	0	0	0	0	0	0	0	0
cell motility	0	0	0	0	0	0	0	0	0	0.255726750778256	0	0	0	0	0	0	0	0	0	0.228706821483006	0.186466357218326	0.227108052851481	0.194163329228613	0	0	0	0	0.167028558970341	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17585453098267	0.14594722385562	0.159492995841945	0	0	0	0	0	0	0	0	0.118795473027566	0.129690329827909	0.1211212247413	0	0.161006231497887	0.149601725038751	0	0	0	0	0	0	0	0	0	0.121350255951591	0	0	0	0	0.110649913259432	0.108235574835835	0.107826588721938	0	0.128710931221931	0.130967916221296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173222812830516	0.156897383149883	0	0	0	0	0	0	0	0	0	0.172816754569068	0	0	0.123747552615272	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122900284551635	0	0.108370057086412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097332364665354	0	0	0	0	0.113665853574652	0	0	0	0	0	0	0	0	0.134764630369734	0	0	0	0	0	0	0.908045288444258	0	0	0	0	0	0	0	0	0	0	0.11438480515475	0.103519926513068	0	0.0895809545032194	0	0	0	0	0	0	0	0	0	0	0	0	0.0954682310006998	0.0954682310006998	0	0	0	0	0	0	0	0	0	0	0.0801488060860462	0
unsaturated fatty acid biosynthetic process	0	0	0	0	0	0.0342012595335878	0	0	0.0331602291912848	0	0.036892588060272	0	0	0.0401384755468419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362544859574571	0.0341229233545546	0	0.0331409093877467	0	0	0.0321286283283212	0.0292670716319669	0.0260316429741114	0.0330583484866109	0.0302051445376006	0	0	0	0	0	0	0	0.0301766717185853	0.0281463586858079	0.0285668817817279	0.0266190574208466	0	0	0	0	0	0	0.0259586597171233	0.02915639120877	0.0256628282421896	0.0236801272315027	0.0296308422106146	0.0306268839928972	0	0	0	0	0.023345458338822	0	0	0	0	0	0	0	0	0	0.0254422465173912	0.0264435333660935	0.0263350671602557	0.0260849477911799	0	0	0.028701071252593	0	0.448787424811309	0.394421822055821	0.0275846253649937	0.0265328468980315	0.0301479507083371	0.0302732884640812	0.021968701188297	0.0278445358196064	0.0256628282421896	0	0	0	0.0261542221384711	0.0217350722128004	0.0156686933520785	0	0.0244679209403886	0	0	0	0	0	0.0229592078575535	0	0	0	0	0.394636679953127	0	0	0	0	0.0257250742215571	0.695366258929835	0.624861094174726	0.601519360156447	0.0218080020744916	0	0	0	0.0210985277866028	0	0	0.0206993400701507	0.0301807543470133	0	0	0	0.0220719039412802	0.0203999571385413	0.0254422465173912	0	0	0.024356105644941	0	0.0241123467435834	0.365387682159599	0	0.0236256479894207	0.0209872343906462	0.875430282956595	0.0190526511559688	0	0	0	0.0194961232635385	0	0	0.0163090434342328	0	0	0	0.0163090434342328	0	0	0	0	0	0	0	0	0.0274446874815779	0	0	0	0	0	0	0.999640567902714	0.284155190836401	0	0	0	0	0	0.0299570461544132	0	0	0	0	0	0	0.0206993484502956	0	0	0	0	0	0	0	0	0.0255771305544564	0.0256417012303042	0	0	0	0	0.0225299433120886	0.0238349622822105	0.0216205908576073	0.0226276541793368	0	0.0219348667924482	0.0177607396043207	0	0	0	0
bile acid metabolic process	0	0	0	0	0	0.0319517567782365	0	0	0.0306161842149174	0	0.034288602368672	0	0	0.0370751478777961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033736725724073	0.0318833761481885	0	0.0310244123132765	0	0	0.0301355645171292	0.0276040360402418	0.0247076586022605	0.0309520484391293	0.0284370129545328	0	0	0	0	0	0	0	0.0284117746284129	0.0266048944739142	0.0269803109150951	0.0252362334570246	0	0	0	0	0	0	0.0246419011167184	0.02750555541968	0.0243751664905508	0.0225794811849751	0.0279274118882619	0.0288105171903315	0	0	0	0	0.0220552198443119	0	0	0	0	0	0	0	0	0	0.0241760794368809	0.0250784181369199	0.0249808410767652	0.0247556740800111	0	0	0.0270999776326345	0	0.420951218685048	0.621616407793109	0.0261024549746271	0.0251587342820211	0.0283863134832669	0.0284974044687622	0.0208224184545016	0.0263350671602557	0.0243751664905508	0	0	0	0.0248180595197663	0.0206124174679222	0.0150767282728825	0	0.0232946380873016	0	0	0	0	0	0.0217101680382246	0	0	0	0	0.372950350003574	0	0	0	0	0.0244313158232523	0.363549438073991	0.328472175304411	0.316774784218513	0.0206779966223324	0	0	0	0.020039064772068	0	0	0.0196786184719461	0.0284153936440891	0	0	0	0.0211126528713595	0.0194078406407567	0.0241760794368809	0	0	0.0231932669794736	0	0.0229721224481895	0.578195738537164	0	0.0225299433120886	0.0201180905456511	0.317412863589252	0.0181844663606132	0	0	0	0.0185880153036805	0	0	0.0156686933520785	0	0	0	0.0156686933520785	0	0	0	0	0	0	0	0	0.0259771171280297	0	0	0	0	0	0	0.284155190836401	0.999820283951357	0	0	0	0	0	0.0282170047311125	0	0	0	0	0	0	0.0198534049384246	0	0	0	0	0	0	0	0	0.024297840048814	0.024356105644941	0	0	0	0	0.0215313667131519	0.0227202145810033	0.0206993484502956	0.0216205908576073	0	0.0209872343906462	0.0170039635006295	0	0	0	0
heart development	0	0	0	0	0	0	0	0.432985045203134	0	0	0	0.44711493021233	0.487221275626162	0	0.594996426904102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428306740281633	0.553094325587993	0	0	0	0	0	0	0	0	0.304276326152764	0.333887396021314	0.339561178681547	0.467686997216617	0	0	0	0	0	0	0	0.391668531276045	0	0.391668531276045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305427821518614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259300452440406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449201603814919	0	0	0	0.978194452764632	0	0	0	0	0	0	0.46699887687659	0	0	0	0	0	0.262957258191174	0.250353977953947	0	0	0.358462048788754	0.246143302201062	0	0	0	0	0	0	0	0.28223674352333	0	0	0	0	0	0	0	0	0	0	0
exocytosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437447433531304	0.387502073342649	0.646680904434613	0.585462173078995	0	0	0	0	0	0	0.387502073342649	0.736458804415031	0	0	0.483408056313888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346549773711526	0.337479402030236	0	0.273587760572431	0	0	0	0	0	0	0	0	0	0.27616341659211	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263277553132996	0.277480246717833	0.320336561739824	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264384486484622	0	0.278918549362266	0.260492408122484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260492408122484	0	0	0	0	0.231877359177815	0	0	0	0	0.233971071233935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.972683160606242	0.898665313438529	0	0	0	0	0	0	0	0.267742246455185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385505374460958	0	0	0	0	0	0
synaptic vesicle exocytosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391427068792027	0.350951479603708	0.595319688345178	0.543046091293387	0	0	0	0	0	0	0.350951479603708	0.670573319904352	0	0	0.454120698294527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317022146473109	0.309414634471925	0	0.254848515112677	0	0	0	0	0	0	0	0	0	0.257081978262539	0	0	0	0	0	0.430026898068307	0	0	0	0.443456406140176	0	0	0	0.245879169661578	0.258222747141682	0.294943306262863	0.897269938663758	0	0	0.382295532806097	0.342329013022594	0	0	0	0	0	0	0	0	0.246844368148911	0	0.259467889263825	0.243448268305932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243448268305932	0	0	0	0	0.218274368103112	0	0	0	0	0.220128649983503	0	0.351304713355198	0.235598860324218	0	0	0.251566572881381	0.288348679383367	0	0.258190084472332	0	0.250311164932066	0	0	0	0	0	0	0	0	0	0	0	0	0.898665313438529	0.984903851913976	0	0	0	0	0	0	0	0.249768913661301	0	0	0	0	0.258705141821503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366648266464128	0	0	0	0	0	0
defense response to bacterium	0	0.40935868391841	0.322911754342627	0.272294388348637	0.523881577481239	0	0.435885798960523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414043606366846	0.414043606366846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457582542415137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376502690609395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321658867302034	0	0	0	0	0	0	0	0.986401485652669	0.36322904792337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299884552710851	0	0	0	0	0	0	0	0	0	0	0	0	0	0
complement activation	0.380960899174189	0.855505821953606	0.681013091493681	0.577353102420094	0.495458979979134	0	0.416028562717299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396085602007093	0.396085602007093	0	0	0	0.291693441101023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.435748780917063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361594898988428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310714759897437	0	0	0	0	0	0	0	0.36322904792337	0.990475049421913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202276650907822	0.216328934519745	0	0	0.633993315933241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
